TC No.,System Name,Module / Feature,BRD Reference,Pre-Requisites,Test Scenario / Objective,Test Type,Steps Description,Expected Result,Post Conditions,Data Required (if applicable)
"---","---","---","---","---","---","---","---","---","---","---"
"**1.0**","**Insure UI**","**New Business Proposal Entry**","**BRD_nVEST_UW_BI_CALC_v1.2**","**User has access to the Insure UI portal.**","**UI & Field Validation**","**UI**","**1. Navigate to the New Business proposal journey. 2. Go to the Proposer/Life Assured details section. 3. Verify the presence of all fields required for UW BI calculation.**","**The following fields must be present and correctly labeled: - Date of Birth (to calculate Age) - Sum Assured - Smoker Status (Yes/No) - Pre-existing Medical Condition (Yes/No) - Annual Income - Is Staff (Yes/No)**","**User can view the fields.**","**N/A**"
"1.1","Insure UI","New Business Proposal Entry","BRD_nVEST_UW_BI_CALC_v1.2","User is on the proposal entry screen.","To validate that the 'Annual Income' field accepts only positive numeric values.","Negative","1. Navigate to the 'Annual Income' field. 2. Enter a negative value (e.g., -50000). 3. Try to proceed to the next step.","A validation error message 'Income must be a positive value' should be displayed. The user should not be able to proceed.","Error message is displayed.","Annual Income = -50000"
"1.2","Insure UI","New Business Proposal Entry","BRD_nVEST_UW_BI_CALC_v1.2","User is on the proposal entry screen.","To validate that the 'Sum Assured' field accepts only positive numeric values.","Negative","1. Navigate to the 'Sum Assured' field. 2. Enter non-numeric characters (e.g., 'abc'). 3. Try to proceed to the next step.","A validation error message 'Sum Assured must be a numeric value' should be displayed. The user should not be able to proceed.","Error message is displayed.","Sum Assured = 'abc'"
"1.3","Insure UI","New Business Proposal Entry","BRD_nVEST_UW_BI_CALC_v1.2","User is on the proposal entry screen.","To verify that 'Smoker Status' is a mandatory selection.","Negative","1. Navigate to the 'Smoker Status' field. 2. Do not select any option (Yes/No). 3. Try to proceed to the next step.","A validation error message 'Please select Smoker Status' should be displayed.","Error message is displayed.","Smoker Status = Unselected"
"1.4","Insure UI","Integration with nVEST","BRD_nVEST_UW_BI_CALC_v1.2","A complete and valid proposal form is filled.","To verify that all required data points for UW BI calculation are sent to nVEST upon proposal submission.","Integration","1. Fill a complete proposal form with all valid data. 2. Enable network/log tracing. 3. Submit the proposal. 4. Intercept/check the API call payload sent to the nVEST system.","The API request payload to nVEST must contain the correct values for Age, Sum Assured, Smoker Status, Pre-existing Condition, Annual Income, and Staff status.","Proposal is successfully submitted and an Application Number is generated.","Age=35, SA=5000000, Smoker=Yes, Medical=No, Income=1000000, Staff=No"
"---","---","---","---","---","---","---","---","---","---","---"
"**2.0**","**nVEST**","**UW BI Calculation Engine**","**BRD_nVEST_UW_BI_CALC_v1.2**","**A valid proposal data payload is received from Insure UI.**","**To verify the baseline UW BI calculation with all default factors.**","**Functional / Data**","**1. Simulate an API call to nVEST with data where all factors are default (1.0). 2. Check the calculated UW BI score in the system's processing log or response.**","**The UW BI should be calculated correctly as (Sum Assured / 100000) * Age Factor. Example: (10000000 / 100000) * 1.3 = 130.00**","**UW BI score is calculated and stored against the application number.**","**Age=45, SA=10000000, Smoker=No, Medical=No, Income=600000, Staff=No. (Age Factor=1.3, all others=1.0)**"
"2.1","nVEST","UW BI Calculation Engine","BRD_nVEST_UW_BI_CALC_v1.2","Proposal data received by nVEST.","To verify the 'Age Factor' for Age < 30.","Data","1. Process a proposal where the Life Assured's age is less than 30. 2. Verify the Age Factor used in the calculation is 1.1.","The final UW BI calculation must use 1.1 as the Age Factor. Example: (5000000/100000) * 1.1 = 55.00","UW BI score is calculated.","Age=29, SA=5000000, Smoker=No, Medical=No, Income=6L, Staff=No"
"2.2","nVEST","UW BI Calculation Engine","BRD_nVEST_UW_BI_CALC_v1.2","Proposal data received by nVEST.","To verify the 'Age Factor' for Age at boundary 30.","Boundary / Edge Case","1. Process a proposal where the Life Assured's age is exactly 30. 2. Verify the Age Factor used in the calculation is 1.3.","The final UW BI calculation must use 1.3 as the Age Factor. Example: (5000000/100000) * 1.3 = 65.00","UW BI score is calculated.","Age=30, SA=5000000, Smoker=No, Medical=No, Income=6L, Staff=No"
"2.3","nVEST","UW BI Calculation Engine","BRD_nVEST_UW_BI_CALC_v1.2","Proposal data received by nVEST.","To verify the 'Age Factor' for Age at boundary 50.","Boundary / Edge Case","1. Process a proposal where the Life Assured's age is exactly 50. 2. Verify the Age Factor used in the calculation is 1.3.","The final UW BI calculation must use 1.3 as the Age Factor. Example: (5000000/100000) * 1.3 = 65.00","UW BI score is calculated.","Age=50, SA=5000000, Smoker=No, Medical=No, Income=6L, Staff=No"
