"TC No.","System Name","Module / Feature","BRD Reference","Pre-Requisites","Test Scenario / Objective","Test Type","Steps Description","Expected Result","Post Conditions","Data Required (if applicable)"
### Insure UI - UI Test Cases ###,,,,,,,,,,
"CHLI_INSURE_TC_001","Insure UI","BI Calculator","BRD-UI-01","User has access to the Insure portal and has navigated to the BI calculation screen.","Verify the presence and default state of all input fields on the BI calculator screen.","UI","1. Login to Insure system.
2. Navigate to the Benefit Illustration section.
3. Observe the screen.","The following fields should be visible:
- Proposer/LA Details (Name, DOB, Gender)
- Plan Name (Dropdown)
- Policy Term (PT - Dropdown/Input)
- Premium Payment Term (PPT - Dropdown/Input)
- Premium Payment Mode (Dropdown)
- Sum Assured (Input)
- Premium (Input)
- Staff Discount (Checkbox)
- 'Calculate' and 'Reset' buttons should be present. The 'Calculate' button should be disabled initially.","None","User credentials"
"CHLI_INSURE_TC_002","Insure UI","BI Calculator","BRD-UI-02","User is on the BI Calculator screen.","Verify the functionality of the Date of Birth (DOB) date picker.","UI","1. Click on the DOB input field.
2. Select a valid date from the calendar widget.
3. Manually type a valid date in DD/MM/YYYY format.","1. A calendar widget should appear.
2. The selected date should be populated in the DOB field. Age should be auto-calculated and displayed.
3. The typed date should be accepted and age auto-calculated.","Age field is populated.","Valid DOB (e.g., 15/05/1990)"
"CHLI_INSURE_TC_003","Insure UI","BI Calculator","BRD-UI-03","User is on the BI Calculator screen.","Verify that the 'Calculate' button is enabled only after all mandatory fields are filled.","UI","1. Fill only the Name and DOB.
2. Observe the 'Calculate' button.
3. Fill all mandatory fields (e.g., PT, PPT, Mode, Sum Assured).
4. Observe the 'Calculate' button.","1. The 'Calculate' button should remain disabled.
2. The 'Calculate' button should become enabled.","None","Proposer Name, DOB, PT, PPT, Mode, SA"
"CHLI_INSURE_TC_004","Insure UI","BI Calculator","BRD-UI-04","User is on the BI Calculator screen.","Verify the functionality of the 'Reset' button.","UI","1. Fill all fields with valid data.
2. Click the 'Reset' button.","All input fields should be cleared and reset to their default state. Any generated BI output should be cleared. The 'Calculate' button should become disabled again.","Screen is ready for fresh input.","Any valid data."
### Insure UI - Functional Test Cases ###,,,,,,,,,,
"CHLI_INSURE_TC_005","Insure UI","BI Calculator","BRD-FUNC-01","User is on the BI Calculator screen.","Verify successful BI generation with valid inputs for a standard case.","Positive","1. Enter valid details for a 30-year-old male.
2. Select Plan, PT=20, PPT=10, Mode=Yearly.
3. Enter Sum Assured = 500000.
4. Click 'Calculate'.","1. A Benefit Illustration summary and detailed table should be generated without any errors.
2. The calculated premium should be displayed.
3. The BI should show year-wise premium, guaranteed additions, death benefit, and maturity benefit.","BI is generated and can be saved or printed.","Age: 30, Gender: Male, PT: 20, PPT: 10, Mode: Yearly, SA: 500000"
"CHLI_INSURE_TC_006","Insure UI","BI Calculator","BRD-FUNC-02","User is on the BI Calculator screen.","Verify that entering Premium amount calculates the Sum Assured.","Functional","1. Enter valid details for a 40-year-old female.
2. Select Plan, PT=15, PPT=15, Mode=Yearly.
3. Enter Premium = 50000.
4. Tab out or click 'Calculate'.","The Sum Assured field should be auto-populated with the corresponding calculated value based on the premium entered. The BI should be generated correctly.","None","Age: 40, Gender: Female, PT: 15, PPT: 15, Mode: Yearly, Premium: 50000"
"CHLI_INSURE_TC_007","Insure UI","BI Calculator","BRD-FUNC-03","User is on the BI Calculator screen.","Verify the Staff Discount functionality.","Functional","1. Generate a BI for a standard case and note the premium (e.g., P1).
2. Check the 'Staff Discount' checkbox.
3. Click 'Calculate' again.
4. Note the new premium (P2).","The new premium (P2) should be lower than the original premium (P1). The BI should clearly state that a staff discount has been applied. (e.g., P2 = P1 * (1 - staff discount rate)).","None","Standard input data."
"CHLI_INSURE_TC_008","Insure UI","BI Calculator","BRD-FUNC-04","User is on the BI Calculator screen.","Verify BI generation for all valid Premium Payment Modes.","Functional","1. Generate a BI with Mode=Yearly. Note the premium.
2. Change Mode to Half-yearly and recalculate.
3. Change Mode to Quarterly and recalculate.
4. Change Mode to Monthly and recalculate.","A valid BI should be generated for each mode. The premium for non-annual modes should be correctly loaded as per business rules (e.g., Half-yearly premium > Yearly premium / 2).","None","Standard input data."
### Insure UI - Negative Test Cases ###,,,,,,,,,,
"CHLI_INSURE_TC_009","Insure UI","BI Calculator","BRD-AGE-01","User is on the BI Calculator screen.","Verify validation for entry age below the minimum limit.","Negative","1. Enter DOB such that the calculated age is less than the minimum (e.g., 17 years).
2. Fill other mandatory fields.
3. Click 'Calculate'.","An error message should be displayed, such as 'Entry age cannot be less than 18 years.' The BI should not be generated.","None","DOB for a 17-year-old."
"CHLI_INSURE_TC_010","Insure UI","BI Calculator","BRD-AGE-02","User is on the BI Calculator screen.","Verify validation for entry age above the maximum limit.","Negative","1. Enter DOB such that the calculated age is more than the maximum (e.g., 61 years).
2. Fill other mandatory fields.
3. Click 'Calculate'.","An error message should be displayed, such as 'Entry age cannot be more than 60 years.' The BI should not be generated.","None","DOB for a 61-year-old."
