"TC No.","System Name","Module / Feature","BRD Reference","Pre-Requisites","Test Scenario / Objective","Test Type","Steps Description","Expected Result","Post Conditions","Data Required (if applicable)"
"---","---","---","---","---","---","---","---","---","---","---"
"**1. UI Test Cases**","---","---","---","---","---","---","---","---","---","---"
"NV_UI_001","nVEST","Login Page","BRD-NV-ULIP-001 | Sec 2.1","User is not logged in. nVEST URL is accessible.","Verify the UI elements on the Login page.","UI","1. Navigate to the nVEST application URL.
2. Observe the login screen.","The login page should display:
- Canara HSBC Life Insurance Logo
- Username field
- Password field (masked)
- 'Login' button
- 'Forgot Password?' link
- Any promotional banners or notices as per design specs.
All elements should be correctly aligned and legible.","User remains on the login page.","N/A"
"NV_UI_002","nVEST","Customer Details","BRD-NV-ULIP-001 | Sec 4.2","User is logged in and is on the 'New Proposal' journey.","Verify mandatory field indicators (*) in the Proposer Details section.","UI","1. Navigate to the Proposer Details section.
2. Observe all input fields.","An asterisk (*) symbol should be visible next to the labels of all mandatory fields (e.g., First Name, Last Name, DOB, Mobile Number, PAN, etc.).","User is on the Proposer Details screen.","N/A"
"NV_UI_003","nVEST","Illustration Generator","BRD-NV-ULIP-001 | Sec 3.5","User is on the Benefit Illustration (BI) generation screen.","Verify the layout and responsiveness of the BI calculator.","UI","1. Enter valid details for Age, Gender, Premium, and Term.
2. Click 'Calculate'.
3. Observe the generated illustration graph and tables.
4. Resize the browser window (if applicable).","The illustration graph should render correctly. The summary table (showing premiums, fund values @4% and @8%) should be clearly formatted. The layout should adjust gracefully to different screen sizes without breaking.","BI is displayed on the screen.","Age: 30, Gender: Male, Premium: 50000, Term: 20"
"NV_UI_004","nVEST","Document Upload","BRD-NV-ULIP-001 | Sec 6.1","User is on the Document Upload screen.","Verify the UI of the document upload component.","UI","1. Navigate to the Document Upload section.
2. Observe the upload area.","The UI should clearly show:
- A 'Browse' or 'Drag & Drop' area.
- Accepted file formats (e.g., PDF, JPG, PNG).
- Maximum file size limit (e.g., 5 MB).
- A clear 'Upload' button.","User is on the Document Upload screen.","N/A"
"NV_UI_005","nVEST","Common","BRD-NV-ULIP-001 | Sec 2.0","User is logged in and navigating the application.","Verify the display of loading spinners during API calls.","UI","1. Perform an action that triggers a backend call (e.g., fetch customer details by mobile number, calculate premium).
2. Observe the screen.","A loading spinner or a progress indicator should be displayed while the data is being fetched. The UI should be non-interactive during this time to prevent duplicate actions.","The action completes and the spinner disappears.","Mobile Number: 9876543210"
"---","---","---","---","---","---","---","---","---","---","---"
"**2. Functional Test Cases**","---","---","---","---","---","---","---","---","---","---"
"NV_FUNC_001","nVEST","Login","BRD-NV-ULIP-001 | Sec 2.2","User has valid login credentials.","Verify successful login with valid credentials.","Positive","1. Navigate to the nVEST URL.
2. Enter a valid Username.
3. Enter the corresponding valid Password.
4. Click the 'Login' button.","The user should be authenticated successfully and redirected to the nVEST dashboard/home page.","User session is created. User is on the dashboard.","Valid agent/staff credentials."
"NV_FUNC_002","nVEST","Illustration Generator","BRD-NV-ULIP-001 | Sec 3.6","User is on the BI screen.","Verify premium calculation for a standard case.","Functional","1. Select the product (e.g., 'Invest 4G').
2. Enter Proposer Age: 35.
3. Enter Sum Assured: 50,00,000.
4. Enter Policy Term (PT): 20 years.
5. Enter Premium Payment Term (PPT): 10 years.
6. Select Premium Frequency: Annual.
7. Click 'Calculate'.","The system should calculate and display the correct annual premium as per the product's premium rate tables. The BI should be generated.","BI is displayed.","Age: 35, SA: 50L, PT: 20, PPT: 10"
"NV_FUNC_003","nVEST","Proposal Form","BRD-NV-ULIP-001 | Sec 4.4","User is on the Nominee Details section.","Verify the functionality of adding a nominee.","Functional","1. In the Nominee section, click 'Add Nominee'.
2. Fill in all mandatory details (Name, DOB, Relationship, % Share).
3. Set '% Share' to 100.
4. Click 'Save'.","The nominee should be added successfully and displayed in a list/table on the screen. The total share should be 100%.","Nominee record is saved in the proposal data.","Nominee Name: Test Nominee, DOB: 01/01/1990, Relationship: Spouse, Share: 100"
