# Test Pack for: Insure UI
# Product: Canara HSBC Secure Growth Plan
# Generated by: Senior Technical QA Engineer

TC No.,System Name,Module / Feature,BRD Reference,Pre-Requisites,Test Scenario / Objective,Test Type,Steps Description,Expected Result,Post Conditions,Data Required (if applicable)
"INS_UI_001","Insure UI","Product Selection","1.0","User is logged into the Insure portal and is on the New Business journey page.","Verify that the new product 'Canara HSBC Secure Growth Plan' is available for selection.","Positive","1. Navigate to the product selection dropdown.
2. Search for or scroll to find the new product.","The product 'Canara HSBC Secure Growth Plan' should be listed and selectable in the product dropdown.","User is able to select the product and proceed to the next step.","User credentials with NB access."
"INS_UI_002","Insure UI","Customer Details - UI","2.1","'Canara HSBC Secure Growth Plan' is selected. User is on the customer details screen.","Verify that all mandatory fields are visually indicated as required (e.g., with an asterisk '*').","UI","1. Observe the fields: Full Name, DOB, Gender, Mobile No, Email ID, PAN.","An asterisk (*) or similar mandatory indicator should be present next to the label of each of these fields.","N/A","N/A"
"INS_UI_003","Insure UI","Customer Details - Functional","2.3","User is on the customer details screen.","Verify that the 'Age' field is auto-calculated correctly based on the Date of Birth (DOB) entered.","Functional","1. Select a DOB from the date picker: 01-Jan-1990.
2. Tab out or click outside the DOB field.","The 'Age' field should be automatically populated with the correct calculated age (e.g., 34 years, depending on the current date) and should be non-editable.","Age is correctly calculated for further validations.","DOB: 01-Jan-1990"
"INS_UI_004","Insure UI","Customer Details - Negative","2.1, 6.1","User has filled all other details on the page but left the 'Full Name' field blank.","Verify that submission is blocked if a mandatory field ('Full Name') is empty.","Negative","1. Fill all details on the customer/plan page except 'Full Name'.
2. Click the 'Submit' or 'Proceed' button.","An inline error message 'Full Name is required' should appear next to the field. The page submission should be blocked.","User remains on the same page until the validation error is fixed.","N/A"
"INS_UI_005","Insure UI","Customer Details - Negative","2.2","User is on the customer details screen.","Verify validation on 'Mobile No' field for non-numeric input.","Negative","1. Enter 'abcdefghij' in the 'Mobile No' field.
2. Tab out of the field.","An error message 'Mobile number must be numeric' should be displayed. The input should either be rejected or flagged as invalid.","N/A","Mobile No: abcdefghij"
"INS_UI_006","Insure UI","Customer Details - Negative","2.2","User is on the customer details screen.","Verify validation on 'Mobile No' field for incorrect length (less than 10 digits).","Negative","1. Enter '987654321' (9 digits) in the 'Mobile No' field.
2. Click 'Submit'.","An error message 'Mobile number must be 10 digits' should be displayed. Submission is blocked.","N/A","Mobile No: 987654321"
"INS_UI_007","Insure UI","Customer Details - Negative","2.2","User is on the customer details screen.","Verify validation on 'Email ID' for invalid format.","Negative","1. Enter 'test@domain' in the 'Email ID' field.
2. Click 'Submit'.","An error message 'Please enter a valid email address' should be displayed. Submission is blocked.","N/A","Email ID: test@domain"
"INS_UI_008","Insure UI","Customer Details - Negative","2.2","User is on the customer details screen.","Verify validation on 'PAN' for incorrect format.","Negative","1. Enter 'ABC1234P' (invalid format) in the 'PAN' field.
2. Click 'Submit'.","An error message 'Please enter a valid PAN' should be displayed. Submission is blocked.","N/A","PAN: ABC1234P"
"INS_UI_009","Insure UI","Plan Parameters - Age Validation","3.1","User is on the plan details screen.","Verify system accepts entry age at the minimum boundary (25 years).","Boundary/Edge Case","1. Enter a DOB that calculates the age to exactly 25 years.
2. Proceed to the next step or calculate premium.","The system should accept the age without any validation error.","N/A","DOB resulting in age 25."
"INS_UI_010","Insure UI","Plan Parameters - Age Validation","3.1","User is on the plan details screen.","Verify system accepts entry age at the maximum boundary (55 years).","Boundary/Edge Case","1. Enter a DOB that calculates the age to exactly 55 years.
2. Proceed to the next step or calculate premium.","The system should accept the age without any validation error.","N/A","DOB resulting in age 55."
"INS_UI_011","Insure UI","Plan Parameters - Age Validation","3.1","User is on the plan details screen.","Verify system rejects entry age below the minimum boundary (24 years).","Negative","1. Enter a DOB that calculates the age to 24 years.
2. Tab out of the DOB field.","An error message 'Entry age must be between 25 and 55 years' must be displayed.","Progression to the next step is blocked.","DOB resulting in age 24."
"INS_UI_012","Insure UI","Plan Parameters - Age Validation","3.1","User is on the plan details screen.","Verify system rejects entry age above the maximum boundary (56 years).","Negative","1. Enter a DOB that calculates the age to 56 years.
2. Tab out of the DOB field.","An error message 'Entry age must be between 25 and 55 years' must be displayed.","Progression to the next step is blocked.","DOB resulting in age 56."
"INS_UI_013","Insure UI","Plan Parameters - PT/PPT Rule","3.2, 3.3, 3.4","User is on the plan details screen.","Verify the Policy Term (PT) dropdown contains the correct fixed values.","UI","1. Click on the 'Policy Term' dropdown.","The dropdown should display only three options: 15, 20, 25.","N/A","N/A"
"INS_UI_014","Insure UI","Plan Parameters - PT/PPT Rule","3.4","User is on the plan details screen.","Verify that the PPT dropdown options are correctly filtered based on the selected PT.","Functional","1. Select Policy Term (PT) as '15'.
2. Click on the 'Premium Payment Term' (PPT) dropdown.","The PPT dropdown should contain the options: 7, 10, 12.
3. Select PT as '20'.
4. Click on the PPT dropdown again.","The PPT dropdown should still contain the options: 7, 10, 12. (As per BRD 3.4, PPT < PT is always true for all combinations).","N/A","N/A"
"INS_UI_015","Insure UI","Plan Parameters - SA Validation","3.5","User is on the plan details screen.","Verify system accepts Sum Assured at the minimum boundary (₹5,00,000).","Boundary/Edge Case","1. Enter '500000' in the 'Sum Assured' field.
2. Click 'Calculate Premium'.","The system should accept the value and calculate the premium.","N/A","SA: 500000"
"INS_UI_016","Insure UI","Plan Parameters - SA Validation","3.5","User is on the plan details screen.","Verify system accepts Sum Assured at the maximum boundary (₹75,00,000).","Boundary/Edge Case","1. Enter '7500000' in the 'Sum Assured' field.
2. Click 'Calculate Premium'.","The system should accept the value and calculate the premium.","N/A","SA: 7500000"
"INS_UI_017","Insure UI","Plan Parameters - SA Validation","3.5","User is on the plan details screen.","Verify system rejects Sum Assured below the minimum boundary.","Negative","1. Enter '499999' in the 'Sum Assured' field.
2. Tab out or click 'Calculate Premium'.","An error message 'Sum Assured must be between ₹5,00,000 and ₹75,00,000' should be displayed.","Premium calculation is blocked.","SA: 499999"
