TC No.,System Name,Module / Feature,BRD Reference,Pre-Requisites,Test Scenario / Objective,Test Type,Steps Description,Expected Result,Post Conditions,Data Required (if applicable)
"NVEST-INT-001","nVEST","Premium Calculation API","BRD_Sec_4.1","The nVEST service is running and accessible from the POS system (e.g., Insure/Unified). A valid ULIP product is configured.","Verify successful premium and benefit illustration calculation for a standard, healthy, non-staff life.","Integration (Positive)","1. Originate a new case from the POS system.
2. Enter valid details for a standard life (e.g., Age: 35, Gender: Male, PPT: 10, PT: 20, Premium: 1,00,000, Sum Assured: 10,00,000).
3. Select a single fund with 100% allocation.
4. Trigger the premium calculation API call to nVEST.
5. Capture the request and response payloads.","1. nVEST API should return a success status (e.g., HTTP 200 OK).
2. The response payload must contain all required fields: Base Premium, Applicable Taxes, Rider Premiums, Total Premium, Mortality Charges, Admin Charges, and a valid Benefit Illustration (BI) structure.
3. The calculated values should be correctly displayed on the POS UI.","The calculated premium and BI data is stored and available for the next steps in the journey.","Age: 35, Gender: Male, PPT: 10, PT: 20, Premium: 1,00,000"
"NVEST-INT-002","nVEST","Premium Calculation API","BRD_Sec_4.2, 5.3","Same as NVEST-INT-001.","Verify successful premium calculation with multiple fund allocations.","Integration (Positive)","1. Follow steps 1-2 from NVEST-INT-001.
2. In the fund selection screen, choose three different funds with allocations summing to 100% (e.g., Equity Fund: 50%, Debt Fund: 30%, Balanced Fund: 20%).
3. Trigger the premium calculation API call.
4. Inspect the request payload sent to nVEST.","1. The request payload must correctly contain the fund codes and their respective allocation percentages.
2. nVEST API should return a success status (HTTP 200 OK).
3. The Benefit Illustration in the response should reflect the growth assumptions based on the selected fund mix.","BI is generated based on the weighted average of the selected funds' growth rates.","Fund 1: 50%, Fund 2: 30%, Fund 3: 20%"
"NVEST-INT-003","nVEST","Premium Calculation API","BRD_Sec_6.1","Same as NVEST-INT-001.","Verify the correct application of staff discount by the nVEST engine.","Data Validation","1. Follow steps 1-3 from NVEST-INT-001.
2. Mark the proposal as a 'Staff' case.
3. Trigger the premium calculation API call.
4. Note the final premium.
5. Uncheck the 'Staff' case and re-calculate for comparison.","1. The request to nVEST must contain a flag or parameter indicating a staff case (e.g., `isStaff: true`).
2. The premium returned by nVEST for the staff case should be lower than the non-staff case, reflecting the discount percentage defined in the product rules (e.g., 2% reduction in premium allocation charge).","The proposal is flagged as a staff case in the downstream policy admin system.","Proposer is an employee."
"NVEST-INT-004","nVEST","Premium Calculation API","BRD_Sec_7.1","Same as NVEST-INT-001. A rider (e.g., Accidental Death Benefit) must be configured for the product.","Verify successful premium calculation when a rider is added.","Integration (Positive)","1. Follow steps 1-3 from NVEST-INT-001.
2. Add a configured rider (e.g., ADB rider) to the plan.
3. Trigger the premium calculation API call.","1. The request to nVEST must contain the rider code and desired rider sum assured.
2. nVEST response should contain the main policy premium PLUS the calculated rider premium.
3. The total premium should be the sum of base premium, rider premium, and taxes.","Rider details are part of the proposal data sent for policy creation.","Rider: Accidental Death Benefit (ADB)"
"NVEST-INT-005","nVEST","Input Validation","BRD_Sec_3.2 (Age)","Same as NVEST-INT-001.","Verify nVEST rejects the request when the entry age is below the minimum limit.","Integration (Negative)","1. Attempt to create a proposal with an age below the product minimum (e.g., Age: 17, if min age is 18).
2. Trigger the premium calculation.
3. Capture the API response from nVEST.","1. The nVEST API should return an error status (e.g., HTTP 400 Bad Request).
2. The response body must contain a specific error code and message indicating the validation failure (e.g., `errorCode: E1001`, `errorMessage: 'Entry age is below the minimum limit for this product'`).
3. The POS UI should display a user-friendly error message.","The proposal cannot proceed until the validation error is fixed.","Age: 17 (Min Age: 18)"
"NVEST-INT-006","nVEST","Input Validation","BRD_Sec_3.2 (Age)","Same as NVEST-INT-001.","Verify nVEST rejects the request when the maturity age is above the maximum limit.","Integration (Negative)","1. Create a proposal where the combination of entry age and policy term exceeds the maximum maturity age (e.g., Age: 60, PT: 25, if max maturity age is 75).
2. Trigger the premium calculation.
3. Capture the API response from nVEST.","1. The nVEST API should return an error status (e.g., HTTP 400 Bad Request).
2. The response body must contain a specific error code and message (e.g., `errorCode: E1002`, `errorMessage: 'Maturity age exceeds the maximum limit for this product'`).","The proposal cannot proceed.","Age: 60, PT: 25 (Max Maturity Age: 75)"
"NVEST-INT-007","nVEST","Input Validation","BRD_Sec_5.3","Same as NVEST-INT-001.","Verify nVEST rejects the request when fund allocations do not sum to 100%.","Integration (Negative)","1. Create a proposal and select multiple funds.
2. Set allocations that do not sum to 100% (e.g., Fund A: 50%, Fund B: 40%).
3. Trigger the premium calculation.
4. Capture the API response from nVEST.","1. nVEST API should return an error status (e.g., HTTP 400 Bad Request).
2. The response body must contain a specific error code and message (e.g., `errorCode: E2005`, `errorMessage: 'Total fund allocation must be equal to 100%'`).","The user is prompted to correct the fund allocations.","Fund 1: 50%, Fund 2: 40%"
"NVEST-INT-008","nVEST","Input Validation","BRD_Sec_3.4 (Premium)","Same as NVEST-INT-001.","Verify nVEST rejects requests where the premium amount is less than the minimum allowed for the chosen frequency.","Integration (Negative)","1. Create a proposal and select 'Annual' premium payment mode.
2. Enter a premium amount below the minimum limit (e.g., 20,000 if min is 25,000).
3. Trigger the premium calculation.","1. nVEST API should return an error status (e.g., HTTP 400 Bad Request).
2. The response body must contain a specific error code and message (e.g., `errorCode: E1003`, `errorMessage: 'Premium is below the minimum limit for the selected mode'`).","The user is prompted to enter a valid premium amount.","Premium: 20,000 (Min: 25,000)"
"NVEST-INT-009","nVEST","Boundary Validation","BRD_Sec_3.2 (Age)","Same as NVEST-INT-001.","Verify successful calculation at the exact minimum entry age.","Boundary","1. Create a proposal with the exact minimum entry age (e.g., 18 years, 0 days).
2. Enter other valid policy parameters.
3. Trigger the premium calculation.","1. nVEST API should return a success status (HTTP 200 OK).
2. The response must contain a valid premium and BI.","Proposal is created successfully at the boundary condition.","Age: 18 (Min Age: 18)"
"NVEST-INT-010","nVEST","Boundary Validation","BRD_Sec_3.5 (Sum Assured)","Same as NVEST-INT-001.","Verify successful calculation at the exact maximum Sum Assured.","Boundary","1. Create a proposal with the exact maximum Sum Assured allowed by the product rules.
2. Enter other valid policy parameters.
3. Trigger the premium calculation.","1. nVEST API should return a success status (HTTP 200 OK).
2. The response must contain a valid premium and BI corresponding to the max SA.","Proposal is created successfully at the boundary condition.","Sum Assured: Max allowed value (e.g., 50,00,00,000)"
